Wall time,Step,Value
1758644773.4611566,180,19.77684783935547
1758644935.0276473,380,22.086692810058594
1758644951.3546374,400,23.203649520874023
1758644999.2025824,460,23.203649520874023
1758645015.2836955,480,23.203649520874023
1758645063.1863678,540,23.427915573120117
1758645127.1813211,620,23.579267501831055
1758645143.3878858,640,23.579267501831055
1758645353.4981105,900,24.374513626098633
1758645465.2909064,1040,24.5252685546875
1758645481.4721036,1060,24.5252685546875
1758645497.1619422,1080,24.5252685546875
1758645576.9614148,1180,24.668468475341797
1758645704.3374119,1340,24.60757064819336
1758645720.093779,1360,24.60757064819336
1758645767.828983,1420,24.63711166381836
1758645783.5357366,1440,24.63711166381836
1758645831.422448,1500,24.74342155456543
1758645846.9993231,1520,24.74342155456543
1758645942.213355,1640,24.81546974182129
1758646021.0418649,1740,24.806209564208984
1758646132.2326515,1880,24.86899757385254
1758646290.0705078,2080,25.210336685180664
1758646353.157238,2160,25.83439826965332
1758646400.9941928,2220,26.459091186523438
1758646416.8283665,2240,26.459091186523438
1758646559.01632,2420,27.732934951782227
1758646638.459803,2520,28.367780685424805
1758646702.068928,2600,29.096166610717773
1758646717.9548376,2620,29.096166610717773
1758646749.5265343,2660,29.096166610717773
1758646781.810326,2700,29.65582275390625
1758646876.5792024,2820,30.410762786865234
1758647004.1100497,2980,31.057403564453125
1758647035.8998241,3020,31.847890853881836
1758647051.759574,3040,31.847890853881836
1758647099.8971932,3100,32.657691955566406
1758647211.7129302,3240,33.53327560424805
1758647259.854093,3300,34.645782470703125
1758647291.8078072,3340,34.645782470703125
1758647323.5652952,3380,34.645782470703125
1758647677.484445,3617,45.10733413696289
1758647693.7283661,3637,45.10733413696289
1758647775.889927,3737,46.119842529296875
1758647888.0034716,3877,47.34741973876953
1758647904.110289,3897,47.34741973876953
1758647919.9816773,3917,47.83677291870117
1758647984.696411,3997,47.83677291870117
1758648001.1917007,4017,47.61083984375
1758648017.4925313,4037,47.61083984375
1758648129.9083216,4177,48.01062774658203
1758648177.6670742,4237,47.73128890991211
1758648193.6379755,4257,47.73128890991211
1758648225.6647375,4297,47.73128890991211
1758648257.7867591,4337,47.655609130859375
1758648322.0040653,4417,47.77568817138672
1758648354.4032052,4457,47.77568817138672
1758648386.1032522,4497,47.77568817138672
1758648465.7472355,4597,47.94115447998047
1758648481.7336223,4617,48.31032943725586
1758648529.4222174,4677,48.31032943725586
1758648609.292252,4777,48.623992919921875
1758648848.4519658,5077,49.10288619995117
1758648864.4422395,5097,49.10288619995117
1758649070.4916513,5357,49.43636703491211
1758649086.3339636,5377,49.43636703491211
1758649101.9547658,5397,49.43636703491211
1758649277.8108919,5617,50.12846374511719
1758649325.9119556,5677,50.12846374511719
1758649357.9503083,5717,50.45774459838867
1758649389.8917005,5757,50.45774459838867
1758649453.6973844,5837,50.627769470214844
1758649502.0124354,5897,50.627769470214844
1758649549.9172573,5957,50.926116943359375
1758649582.4358845,5997,50.926116943359375
1758649664.0314617,6097,51.293766021728516
1758649696.564866,6137,51.502750396728516
1758649712.6288676,6157,51.502750396728516
1758649873.7350552,6357,52.1019172668457
1758649937.8734512,6437,52.466548919677734
