Wall time,Step,Value
1758644773.4613671,180,0.0
1758644935.027766,380,1.0
1758644951.3548713,400,1.25
1758644999.2027295,460,1.25
1758645015.2839112,480,1.25
1758645063.1865194,540,1.399999976158142
1758645127.1814728,620,1.5
1758645143.3879955,640,1.5
1758645353.4984062,900,1.6666666269302368
1758645465.2911096,1040,1.7000000476837158
1758645481.4722564,1060,1.7000000476837158
1758645497.1620815,1080,1.7000000476837158
1758645576.961559,1180,1.7272727489471436
1758645704.337557,1340,1.7692307233810425
1758645720.0939157,1360,1.7692307233810425
1758645767.8291333,1420,1.7857142686843872
1758645783.5359259,1440,1.7857142686843872
1758645831.422596,1500,1.7999999523162842
1758645846.9994988,1520,1.7999999523162842
1758645942.2135015,1640,1.8125
1758646021.0420158,1740,1.8235293626785278
1758646132.2328649,1880,1.8333333730697632
1758646290.070698,2080,1.899999976158142
1758646353.1574268,2160,2.0999999046325684
1758646400.9943385,2220,2.299999952316284
1758646416.8285828,2240,2.299999952316284
1758646559.0164652,2420,2.75
1758646638.4599473,2520,3.049999952316284
1758646702.069077,2600,3.4000000953674316
1758646717.954986,2620,3.4000000953674316
1758646749.5266812,2660,3.4000000953674316
1758646781.8104737,2700,3.799999952316284
1758646876.579418,2820,4.25
1758647004.110205,2980,4.75
1758647035.8999703,3020,5.300000190734863
1758647051.7597349,3040,5.300000190734863
1758647099.897336,3100,5.900000095367432
1758647211.7130783,3240,6.550000190734863
1758647259.854246,3300,7.25
1758647291.8079157,3340,7.25
1758647323.5655105,3380,7.25
1758647677.4846988,3617,18.0
1758647693.7286358,3637,18.0
1758647775.8900764,3737,18.5
1758647888.0036752,3877,19.0
1758647904.1106057,3897,19.0
1758647919.981709,3917,19.25
1758647984.6966186,3997,19.25
1758648001.1919637,4017,19.399999618530273
1758648017.4927182,4037,19.399999618530273
1758648129.9084673,4177,19.5
1758648177.6672773,4237,19.571428298950195
1758648193.6381783,4257,19.571428298950195
1758648225.6650217,4297,19.571428298950195
1758648257.7871037,4337,19.625
1758648322.0042858,4417,19.66666603088379
1758648354.4034789,4457,19.66666603088379
1758648386.1034029,4497,19.66666603088379
1758648465.747421,4597,19.700000762939453
1758648481.7338495,4617,19.81818199157715
1758648529.4224162,4677,19.81818199157715
1758648609.292411,4777,19.91666603088379
1758648848.4521139,5077,20.266666412353516
1758648864.4423885,5097,20.266666412353516
1758649070.4918017,5357,20.55555534362793
1758649086.3341074,5377,20.55555534362793
1758649101.9549215,5397,20.55555534362793
1758649277.81104,5617,21.049999237060547
1758649325.9121008,5677,21.049999237060547
1758649357.9504426,5717,21.299999237060547
1758649389.8918433,5757,21.299999237060547
1758649453.6975362,5837,21.5
1758649502.0125751,5897,21.5
1758649549.9174006,5957,21.700000762939453
1758649582.43603,5997,21.700000762939453
1758649664.0316083,6097,21.899999618530273
1758649696.5650356,6137,22.100000381469727
1758649712.6290116,6157,22.100000381469727
1758649873.735206,6357,22.549999237060547
1758649937.8736534,6437,22.799999237060547
1758650002.2371962,6517,23.049999237060547
1758650034.422093,6557,23.049999237060547
1758650050.5997686,6577,23.049999237060547
1758650099.011452,6637,23.25
1758650342.2160494,6937,23.799999237060547
1758650358.3879514,6957,23.799999237060547
1758650673.3267038,7134,26.0
1758650705.9675786,7174,26.0
1758650722.5240173,7194,26.0
1758650821.661503,7314,26.33333396911621
1758650855.3059208,7354,26.33333396911621
1758650920.310223,7434,26.75
1758651019.7603757,7554,27.200000762939453
1758651035.8921869,7574,27.200000762939453
1758651052.1155639,7594,27.200000762939453
1758651068.2686255,7614,27.5
1758651244.978069,7834,28.25
1758651373.5154402,7994,28.55555534362793
1758651438.1241891,8074,28.899999618530273
1758651470.1715374,8114,29.18181800842285
1758651550.8581996,8214,29.5
1758651632.3615634,8314,29.769229888916016
1758651664.9349551,8354,29.769229888916016
1758651842.7887187,8574,30.33333396911621
1758651939.062435,8694,30.5625
1758651955.5386739,8714,30.764705657958984
1758652019.281366,8794,30.764705657958984
1758652179.1803477,8994,31.105262756347656
1758652195.1174712,9014,31.299999237060547
1758652227.168158,9054,31.299999237060547
1758652291.4719572,9134,31.75
1758652307.4043167,9154,31.75
1758652339.5170705,9194,31.75
1758652404.2562337,9274,32.20000076293945
1758652436.6844194,9314,32.599998474121094
1758652500.3991258,9394,32.599998474121094
1758652579.9846368,9494,32.95000076293945
1758652643.848111,9574,33.25
1758652691.850826,9634,33.599998474121094
1758652723.7601526,9674,33.599998474121094
1758652787.214737,9754,33.900001525878906
1758652803.0076797,9774,33.900001525878906
1758652882.5185912,9874,34.150001525878906
1758652898.3471713,9894,34.150001525878906
1758652993.9600985,10014,34.599998474121094
1758653025.6828718,10054,34.599998474121094
1758653104.924111,10154,34.849998474121094
1758653343.4314141,10454,35.45000076293945
1758653359.176971,10474,35.45000076293945
1758653375.1621246,10494,35.45000076293945
1758653391.360039,10514,35.650001525878906
1758653407.3439422,10534,35.650001525878906
1758653632.2659197,10611,39.0
1758653682.1615672,10671,39.0
1758653698.7532847,10691,39.0
1758653715.4653785,10711,39.0
1758653944.533922,10991,39.5
1758653960.9437253,11011,39.79999923706055
1758653993.502521,11051,39.79999923706055
1758654009.6884758,11071,39.79999923706055
1758654026.0152159,11091,39.79999923706055
1758654058.7363038,11131,40.16666793823242
1758654123.8001196,11211,40.42856979370117
1758654156.2576468,11251,40.42856979370117
1758654220.8146236,11331,40.75
1758654253.191279,11371,40.75
1758654317.3789153,11451,41.11111068725586
1758654413.9425106,11571,41.5
1758654446.287679,11611,41.90909194946289
1758654510.947183,11691,41.90909194946289
1758654591.4026196,11791,42.25
1758654768.2347972,12011,43.0
1758654784.317507,12031,43.0
1758654832.600295,12091,43.0
1758654865.117991,12131,43.1875
1758654881.3833802,12151,43.1875
1758654929.6553354,12211,43.35293960571289
1758654961.58675,12251,43.35293960571289
1758655074.0437577,12391,43.5
1758655154.3332841,12491,43.68421173095703
1758655234.9041543,12591,43.849998474121094
1758655251.172589,12611,44.25
1758655379.2063491,12771,44.650001525878906
1758655395.2786944,12791,44.650001525878906
1758655443.6859837,12851,45.0
1758655475.9857035,12891,45.0
1758655492.3396072,12911,45.349998474121094
1758655557.0227342,12991,45.349998474121094
1758655621.4329822,13071,45.70000076293945
1758655717.3240976,13191,46.0
1758655733.4594443,13211,46.349998474121094
1758655813.7263842,13311,46.650001525878906
1758655845.9966083,13351,46.650001525878906
1758655910.155563,13431,46.900001525878906
1758655958.3245854,13491,46.900001525878906
1758655990.637481,13531,47.099998474121094
1758656102.8266745,13671,47.25
1758656150.8323402,13731,47.400001525878906
1758656230.8570662,13831,47.54999923706055
1758656246.7601895,13851,47.54999923706055
1758656311.0067306,13931,47.70000076293945
1758656375.2646682,14011,47.900001525878906
1758656699.4173403,14208,51.0
1758656732.073994,14248,51.0
1758656765.4162238,14288,51.0
1758656782.3013706,14308,51.0
1758656864.9548266,14408,51.0
1758656996.6797154,14568,51.0
1758657078.2200124,14668,51.0
1758657175.6456935,14788,51.0
1758657208.0645504,14828,51.125
1758657240.022443,14868,51.125
1758657256.222638,14888,51.125
1758657288.8480253,14928,51.22222137451172
1758657304.933074,14948,51.22222137451172
1758657337.2954721,14988,51.22222137451172
1758657353.5754752,15008,51.29999923706055
1758657369.9244545,15028,51.29999923706055
1758657451.1635137,15128,51.3636360168457
1758657548.5850778,15248,51.41666793823242
1758657873.0140243,15648,51.6875
1758657889.1966105,15668,51.6875
1758658003.645765,15808,51.88888931274414
1758658052.3493748,15868,51.88888931274414
1758658068.5636344,15888,51.88888931274414
1758658100.902796,15928,52.05263137817383
1758658133.4282012,15968,52.05263137817383
1758658165.6409526,16008,52.20000076293945
1758658262.3572955,16128,52.45000076293945
1758658518.9264765,16448,53.20000076293945
1758658534.98527,16468,53.20000076293945
1758658567.3884592,16508,53.5
1758658615.6394143,16568,53.5
1758658744.9397116,16728,54.099998474121094
1758658761.1259181,16748,54.099998474121094
1758658906.1382856,16928,54.650001525878906
1758658970.9466414,17008,55.0
1758658986.9234853,17028,55.0
1758659019.1503603,17068,55.0
1758659035.340436,17088,55.0
1758659099.995296,17168,55.349998474121094
1758659148.7040272,17228,55.75
1758659180.896926,17268,55.75
1758659277.9236803,17388,56.150001525878906
1758659374.2870274,17508,57.0
1758659422.2144203,17568,57.0
