Wall time,Step,Value
1759860432.736533,100,17.960800170898438
1759860576.455625,140,17.960800170898438
1759860648.7152507,160,17.960800170898438
1759860719.783529,180,17.960800170898438
1759861161.6011152,300,19.658519744873047
1759861234.4065733,320,19.658519744873047
1759861448.4883366,380,19.658519744873047
1759861524.0518422,400,20.536300659179688
1759861740.2338912,460,20.536300659179688
1759861811.6443853,480,20.536300659179688
1759861885.0624063,500,21.53108024597168
1759861992.6157262,540,21.53108024597168
1759862034.5394948,560,21.53108024597168
1759862172.548908,620,22.1962890625
1759862244.6760037,640,22.1962890625
1759862382.3435774,680,22.1962890625
1759862668.6717782,760,22.940006256103516
1759862742.107231,780,22.940006256103516
1759862880.2405188,820,23.332250595092773
1759862952.043329,840,23.332250595092773
1759863025.5151012,860,23.332250595092773
1759863094.8465815,880,23.332250595092773
1759863164.867578,900,23.775588989257812
1759863669.8696387,1040,23.94544219970703
1759863740.7419374,1060,23.94544219970703
1759863811.2471232,1080,23.94544219970703
1759863882.2072005,1100,24.163541793823242
1759863952.845925,1120,24.163541793823242
1759864024.069895,1140,24.163541793823242
1759864168.75031,1180,24.163541793823242
1759864239.8566866,1200,24.346874237060547
1759864372.194124,1240,24.346874237060547
1759864498.3784153,1300,24.550010681152344
1759864541.4161613,1320,24.550010681152344
1759864573.3804116,1340,24.550010681152344
1759864589.1740024,1360,24.550010681152344
1759864620.7371337,1400,24.681163787841797
1759864635.9270132,1420,24.681163787841797
1759864651.5888865,1440,24.681163787841797
1759864667.350353,1460,24.681163787841797
1759864698.6836357,1500,24.80673599243164
1759864714.0167978,1520,24.80673599243164
1759864877.2273068,1615,26.777524948120117
1759864908.9448388,1655,26.777524948120117
1759864940.611285,1695,26.777524948120117
1759864971.93123,1735,27.01453399658203
1759864987.3611069,1755,27.01453399658203
1759865018.816142,1795,27.01453399658203
1759865034.5038302,1815,26.981857299804688
1759865066.0488472,1855,26.981857299804688
1759865081.7172685,1875,26.981857299804688
1759865128.48893,1935,27.112262725830078
1759865143.9256864,1955,27.112262725830078
1759865220.7731912,2055,27.29473876953125
1759865282.210765,2135,27.430402755737305
1759865297.410304,2155,27.430402755737305
1759865343.7747934,2215,27.459609985351562
1759865390.2201061,2275,27.459609985351562
1759865405.6225445,2295,27.459609985351562
1759865436.470392,2335,27.758947372436523
1759865451.9326108,2355,27.758947372436523
1759865513.4811387,2435,28.023311614990234
1759865544.148641,2475,28.023311614990234
1759865620.967908,2575,28.21595573425293
